,artists,album,genre,scores,years,labels,dates,reviewer,Release Year,day,month,electronic,pop,r&b,rap,experimental,rock,global,folk,country,jazz,Reissue,Prev1,Prev2,Prev3,Prev4,Prev5,Prev6,Prev7,Prev8,Prev9,Prev10,Wait,Major,MajorIndie,Label Switch,Other
12855,Âme,...Mixing,,7.2,2007,Sonar Kollektiv,2007-05-23,Tim Finney,2007,23,5,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
20395,µ-ZiqKazumi,The Fear EP,Electronic,4.9,,NA/NA,1999-07-31,Ryan Schreiber,1999,31,7,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
4972,µ-Ziq,Somerset Avenue Tracks (1992-1995),Electronic,8.0,2013,Planet Mu,2013-08-07,Miles Raymer,2013,7,8,1,0,0,0,0,0,0,0,0,0,0,7.1,7.9,5.1,9.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,1
5033,µ-Ziq,Chewed Corners,Electronic,7.1,2013,Planet Mu,2013-07-22,Angus Finlayson,2013,22,7,1,0,0,0,0,0,0,0,0,0,0,7.9,5.1,9.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,0,0,1,1
17712,µ-Ziq,Bilious Paths,Electronic,7.9,2003,Planet µ,2003-07-23,Dominique Leone,2003,23,7,1,0,0,0,0,0,0,0,0,0,0,5.1,9.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,0,0,1,1
20396,µ-Ziq,Royal Astronomy,Electronic,5.1,,NA/NA,1999-07-29,Ryan Schreiber,1999,29,7,1,0,0,0,0,0,0,0,0,0,0,9.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,0,0,0,1
19441,µ-Ziq,Tango n' Vectif,Electronic,9.4,1993/2001,NA/NA,2001-11-08,Malcolm Seymour III,1993,8,11,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
11370,"¡Forward, Russia!",Life Processes,ElectronicRock,6.4,2008,Mute,2008-07-22,Mike Orme,2008,22,7,1,0,0,0,0,1,0,0,0,0,0,6.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0,1,1,0
13867,"¡Forward, Russia!",Give Me a Wall,ElectronicRock,6.2,2006,Mute/Dance to the Radio,2006-08-01,Stuart Berman,2006,1,8,1,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0,0
4335,???,???,,5.0,2014,Sumerian,2014-02-12,Ian Cohen,2014,12,2,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
11623,{{{ Sunset }}},Bright Blue Dream,,5.6,2008,Autobus,2008-05-09,Nate Patrin,2008,9,5,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
3508,yMusic,Balance Problems,Pop/R&B,7.6,2014,New Amsterdam,2014-10-01,Jeremy D. Larson,2014,1,10,0,1,1,0,0,0,0,0,0,0,0,6.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0,0,0,1
7113,yMusic,"yMusic, Beautiful Mechanical",Pop/R&B,6.7,2011,New Amsterdam,2011-12-02,Jayson Greene,2011,2,12,0,1,1,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
5645,xxxy,Got Me So EP,Electronic,6.7,2013,Rinse,2013-02-08,Andrew Gaerig,2013,8,2,1,0,0,0,0,0,0,0,0,0,0,7.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0,0,1,1
6672,xxxy,Everything EP,Electronic,7.7,2012,Well Rounded,2012-04-20,Larry Fitzmaurice,2012,20,4,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
11065,volcano!,Paperwork,ExperimentalRock,7.9,2008,Leaf,2008-10-09,Jason Crock,2008,9,10,0,0,0,0,1,1,0,0,0,0,0,7.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0,0,0,1
14598,volcano!,Beautiful Seizure,ExperimentalRock,7.4,2005,Leaf,2006-01-24,Jason Crock,2005,24,1,0,0,0,0,1,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
31,tofubeats,Fantasy Club,Electronic,7.6,2017,Warner Music Japan,2017-06-05,Patrick St. Michel,2017,5,6,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0,0
1120,theMIND,Summer Camp,Rap,7.0,2016,Self-released,2016-08-12,Matthew Ramirez,2016,12,8,0,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
4024,tUnE-yArDs,Nikki Nack,Pop/R&B,8.1,2014,4AD,2014-05-06,Mike Powell,2014,6,5,0,1,1,0,0,0,0,0,0,0,0,8.8,6.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0,1,0,0
7921,tUnE-yArDs,w h o k i l l,Pop/R&B,8.8,2011,4AD,2011-04-18,Matthew Perpetua,2011,18,4,0,1,1,0,0,0,0,0,0,0,0,6.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0,1,1,0
10502,tUnE-yArDs,BiRd-BrAiNs,Pop/R&B,6.8,2009,Marriage,2009-04-03,Mark Richardson,2009,3,4,0,1,1,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
14883,stellastarr*,Harmonies for the Haunted,ElectronicRock,6.9,2005,RCA,2005-10-31,Rachel Khong,2005,31,10,1,0,0,0,0,1,0,0,0,0,0,7.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1,0,0,0
17455,stellastarr*,Stellastarr,ElectronicRock,7.4,2003,RCA,2003-10-12,Amanda Petrusich,2003,12,10,1,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0,0
1043,serpentwithfeet,blisters,Experimental,8.0,2016,Tri Angle,2016-09-02,Kevin Lozano,2016,2,9,0,0,0,0,1,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
10668,sBACH,sBach,Rock,4.8,2008,Suicide Squeeze,2009-02-18,David Raposa,2008,18,2,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
6776,s / s / s,Beak & Claw,,4.8,2012,Anticon,2012-03-23,Jayson Greene,2012,23,3,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
15967,pedestrian,Volume One: unIndian songs,RapRock,7.4,2005,Anticon,2005-01-23,Brian Howe,2005,23,1,0,0,0,1,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
4258,patten,ESTOILE NAIANT,Electronic,6.0,2014,Warp,2014-03-04,Nick Neyland,2014,4,3,1,0,0,0,0,0,0,0,0,0,0,6.9,6.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0,1,0,0
4535,patten,EOLIAN INSTATE EP,Electronic,6.9,2013,Warp,2013-12-05,Angus Finlayson,2013,5,12,1,0,0,0,0,0,0,0,0,0,0,6.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0,1,1,0
7210,patten,GLAQJO XAACSSO,Electronic,6.7,2011,No Pain in Pop,2011-11-07,Hari Ashurst,2011,7,11,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
796,oddCouple,Liberation,Rap,7.2,2016,Closed Sessions,2016-11-05,Jay Balfour,2016,5,11,0,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
5078,oOoOO,Without Your Love,ElectronicRock,6.7,2013,Nihjgt Feelings,2013-07-09,Puja Patel,2013,9,7,1,0,0,0,0,1,0,0,0,0,0,5.7,7.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0,0,1,1
6721,oOoOO,Our Love Is Hurting Us EP,ElectronicRock,5.7,2012,Tri Angle,2012-04-09,Zach Kelly,2012,9,4,1,0,0,0,0,1,0,0,0,0,0,7.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0,0,0,1
8595,oOoOO,oOoOO EP,ElectronicRock,7.2,2010,Tri Angle,2010-10-05,Zach Kelly,2010,5,10,1,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
6961,o F F Love,Probably Love,ElectronicRock,2.9,2012,M=Maximal,2012-02-01,Andrew Gaerig,2012,1,2,1,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
1841,nonkeen,The Gamble,Electronic,7.5,2016,R&S,2016-02-09,Winston Cook-Wilson,2016,9,2,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
12625,namelessnumberheadman,Wires Reply,Rock,7.1,2007,St. Ives,2007-07-30,Jason Crock,2007,30,7,0,0,0,0,0,1,0,0,0,0,0,8.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0,0,1,1
16700,namelessnumberheadman,Your Voice Repeating,Rock,8.7,2004,Record Machine,2004-06-16,Michael Idov,2004,16,6,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
13553,n0 things,Trees,,7.2,2006,Self-released,2006-11-02,Jason Crock,2006,2,11,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
2202,milo,so the flies don't come,Rap,7.4,2015,Ruby Yacht/The Order Label,2015-10-14,Sheldon Pearce,2015,14,10,0,0,0,1,0,0,0,0,0,0,0,7.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0,0,1,1
3494,milo,a toothpaste suburb,Rap,7.8,2014,Hellfyre Club,2014-10-02,Nate Patrin,2014,2,10,0,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
2608,mewithoutYou,Pale Horses,Rock,7.2,2015,Run for Cover,2015-06-24,Brad Nelson,2015,24,6,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
16257,kpt.michi.gan,kpt.michi.gan,Electronic,6.2,2004,Aesthetics,2004-10-10,Derek Miller,2004,10,10,1,0,0,0,0,0,0,0,0,0,0,8.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0,0,0,1
17801,kpt.michi.gan,"Player, Player",Electronic,8.1,2003,Aesthetics,2003-06-25,Nicholas B. Sylvester,2003,25,6,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
19262,k.,New Problems,,5.0,2001,NA/NA,2002-01-27,Jason Nickey,2001,27,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
13303,k-os,Atlantis: Hymns for Disco,Pop/R&BRap,6.5,2006,EMI,2007-01-25,Eric Harvey,2006,25,1,0,1,1,1,0,0,0,0,0,0,0,7.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1,0,1,0
16275,k-os,Joyful Rebellion,Pop/R&BRap,7.4,2004,Astralwerks,2004-10-05,Derek Miller,2004,5,10,0,1,1,1,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0,0
2020,jennylee,right on!,Rock,7.3,2015,Rough Trade,2015-12-08,Jes Skolnik,2015,8,12,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
1026,inc. no world,As Light as Light,Pop/R&B,6.8,2016,No World,2016-09-08,Renato Pagnani,2016,8,9,0,1,1,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
3330,iamamiwhoami,BLUE,ElectronicRock,6.1,2014,To whom it may concern.,2014-11-17,Sasha Geffen,2014,17,11,1,0,0,0,0,1,0,0,0,0,0,7.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0,0,1,1
6108,iamamiwhoami,Kin,ElectronicRock,7.6,2012,Cooperative,2012-09-20,Katherine St. Asaph,2012,20,9,1,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
1686,iLoveMakonnen,Drink More Water 6,Rap,6.2,2016,Warner Bros.,2016-03-22,Matthew Ramirez,2016,22,3,0,0,0,1,0,0,0,0,0,0,0,7.6,6.7,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,0,1,0
2030,iLoveMakonnen,iLoveMakonnen 2,Rap,7.6,2015,Warner Bros./OVO Sound,2015-12-04,Matthew Ramirez,2015,4,12,0,0,0,1,0,0,0,0,0,0,0,6.7,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,0,1,0
2887,iLoveMakonnen,Drink More Water 5,Rap,6.7,2015,Self-released,2015-04-13,Jamieson Cox,2015,13,4,0,0,0,1,0,0,0,0,0,0,0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0,0,0,1
3613,iLoveMakonnen,iLoveMakonnen EP,Rap,8.0,2014,Self-released,2014-09-04,Jayson Greene,2014,4,9,0,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
12145,iLiKETRAiNS,Elegies to Lessons Learnt,Rock,6.8,2007,Beggars Banquet,2007-12-06,Joshua Klein,2007,6,12,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
6829,feedtime,The Aberrant Years,ExperimentalRock,8.0,2012,Sub Pop,2012-03-08,Marc Masters,2012,8,3,0,0,0,0,1,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0,0
6736,fIREHOSE,lowFLOWs: The Columbia Anthology ('91-'93),MetalRock,7.9,2012,Columbia Legacy,2012-04-04,Matthew Murphy,2012,4,4,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0,0
2080,f(x),4 Walls,Pop/R&B,7.3,2015,S.M.,2015-11-18,Sheldon Pearce,2015,18,11,0,1,1,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
19573,eX-Girl,Back to the Mono Kero,ExperimentalRock,6.8,2001,NA/NA,2001-09-24,Christopher F. Schiel,2001,24,9,0,0,0,0,1,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
11704,eMC,The Show,Rap,7.9,2008,M3,2008-04-18,Ben Westhoff,2008,18,4,0,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
1634,dvsn,Sept. 5th,Pop/R&B,8.3,2016,Warner Bros./OVO Sound,2016-04-05,Ryan Dombal,2016,5,4,0,1,1,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0,0
7650,diskJokke,Sagara,Pop/R&B,6.4,2011,Smalltown Supersound,2011-06-28,Andrew Gaerig,2011,28,6,0,1,1,0,0,0,0,0,0,0,0,7.2,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0,0,0,1
8877,diskJokke,En Fin Tid,Pop/R&B,7.2,2010,Smalltown Supersound,2010-07-09,Brian Howe,2010,9,7,0,1,1,0,0,0,0,0,0,0,0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0,0,0,1
11686,diskJokke,Staying In,Pop/R&B,8.0,2008,Smalltown Supersound,2008-04-23,Brian Howe,2008,23,4,0,1,1,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
14811,dios (malos),dios (malos),Rock,6.1,2005,StarTime,2005-11-17,Jason Crock,2005,17,11,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
14390,deadboy & the Elephantmen,We Are Night Sky,ElectronicRock,5.7,2006,Fat Possum,2006-03-16,Stephen M. Deusner,2006,16,3,1,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
14960,dEUS,Pocket Revolution,Rock,7.8,2005,V2,2005-10-10,Joe Tangari,2005,10,10,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
4956,dBridge,Move Way EP,Electronic,6.6,2013,R&S,2013-08-12,Nate Patrin,2013,12,8,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
7795,d'EonGrimes,Darkbloom EP,ElectronicRockPop/R&B,7.2,2011,Hippos in Tanks/Arbutus,2011-05-19,Lindsay Zoladz,2011,19,5,1,1,1,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
6475,d'Eon,LP,ElectronicRock,6.4,2012,Hippos in Tanks,2012-06-06,Hari Ashurst,2012,6,6,1,0,0,0,0,1,0,0,0,0,0,6.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0,0,0,1
8337,d'Eon,Palinopsia,ElectronicRock,6.2,2010,Hippos in Tanks,2010-12-08,Larry Fitzmaurice,2010,8,12,1,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
1971,craw,1993-1997,Rock,8.3,2015,Northern Spy,2016-01-08,Saby Reyes-Kulkarni,2015,8,1,0,0,0,0,0,1,0,0,0,0,0,7.7,8.1,8.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,0,0,0,1
1974,craw,"Map, Monitor, Surge",Rock,7.7,1997/2015,Northern Spy,2016-01-08,Saby Reyes-Kulkarni,1997,8,1,0,0,0,0,0,1,0,0,0,0,0,8.1,8.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0,0,0,1
1973,craw,Lost Nation Road,Rock,8.1,1994/2015,Northern Spy,2016-01-08,Saby Reyes-Kulkarni,1994,8,1,0,0,0,0,0,1,0,0,0,0,0,8.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0,0,0,1
1972,craw,craw,Rock,8.3,1993/2015,Northern Spy,2016-01-08,Saby Reyes-Kulkarni,1993,8,1,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
1034,clipping.,Splendor & Misery,Rap,5.3,2016,Sub Pop/Deathbomb Arc,2016-09-06,Mehan Jayasuriya,2016,6,9,0,0,0,1,0,0,0,0,0,0,0,5.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0,1,1,0
3878,clipping.,CLPPNG,Rap,5.6,2014,Sub Pop,2014-06-13,Miles Raymer,2014,13,6,0,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0,0
1336,case/lang/veirs,case/lang/veirs,Rock,8.2,2016,Anti-,2016-06-18,Laura Snapes,2016,18,6,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
11003,caUSE co-MOTION!,It?s Time! Singles and EPs 2005-2008,Rock,7.8,2008,Slumberland,2008-10-27,Jayson Greene,2008,27,10,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
17109,cLOUDDEAD,Ten,Rap,7.8,2004,Mush,2004-02-12,Chris Dahlen,2004,12,2,0,0,0,1,0,0,0,0,0,0,0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0,0,1,1
19716,cLOUDDEAD,cLOUDDEAD,Rap,8.0,2001,NA/NA,2001-04-24,Christopher Dare,2001,24,4,0,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
7368,bvdub,I Remember,Electronic,6.5,2011,Glacial Movements,2011-09-23,Eric Grandy,2011,23,9,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1
